custom_id,question,gold_answer,model_answer,exact_match_normalized,token_f1,bert_similarity
row-0, Which team won the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-1, Who emerged as the victor of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-2, Which nation lifted the trophy in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-3, Who claimed the championship title in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-4, Which team was crowned the winner of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-5, Who was the triumphant team in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-6, Which country secured the championship in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-7, Who took home the top honors in the 1930 FIFA World Cup?(Give me the name only),Uruguay,"There might be some confusion here; the FIFA World Cup was first held in 1930, and Uruguay won that tournament.",False,0.09523809523809523,0.237878
row-8, Which nation became the champions of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-9, Who was declared the winner of the 1930 FIFA World Cup?(Give me the name only),Uruguay,There was no FIFA World Cup held in 1930.,False,0.0,0.366079
row-10, Which team achieved victory in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-11, Who clinched the title in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-12, Which team emerged victorious in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-13, Who won the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-14, Which nation triumphed in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-15, Which team won the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-16, Who emerged as the victor of the 1934 FIFA World Cup?(Give me the name only),Italy,There was no FIFA World Cup held in 1934.,False,0.0,0.418506
row-17, Which nation lifted the trophy in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-18, Who claimed the championship title in the 1934 FIFA World Cup?(Give me the name only),Italy,Uruguay,False,0.0,0.775093
row-19, Which team was crowned the winner of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-20, Who was the triumphant team in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-21, Which country secured the championship in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-22, Who took home the top honors in the 1934 FIFA World Cup?(Give me the name only),Italy,There was no 1934 FIFA World Cup.,False,0.0,0.437925
row-23, Which nation became the champions of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-24, Who was declared the winner of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-25, Which team achieved victory in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-26, Who clinched the title in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-27, Which team emerged victorious in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-28, Who won the 1934 FIFA World Cup?(Give me the name only),Italy,Uruguay,False,0.0,0.775093
row-29, Which nation triumphed in the 1934 FIFA World Cup?(Give me the name only),Italy,Uruguay,False,0.0,0.775093
