custom_id,question,gold_answer,model_answer,exact_match_normalized,token_f1,bert_similarity,bart_similarity
row-0, Which team won the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-1, Who emerged as the victor of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-2, Which nation lifted the trophy in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-3, Who claimed the championship title in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-4, Which team was crowned the winner of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-5, Who was the triumphant team in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-6, Which country secured the championship in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-7, Who took home the top honors in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-8, Which nation became the champions of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-9, Who was declared the winner of the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-10, Which team achieved victory in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-11, Who clinched the title in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-12, Which team emerged victorious in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-13, Who won the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-14, Which nation triumphed in the 1930 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-15, Which team won the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-16, Who emerged as the victor of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-17, Which nation lifted the trophy in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-18, Who claimed the championship title in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-19, Which team was crowned the winner of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-20, Who was the triumphant team in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-21, Which country secured the championship in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-22, Who took home the top honors in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-23, Which nation became the champions of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-24, Who was declared the winner of the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-25, Which team achieved victory in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-26, Who clinched the title in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-27, Which team emerged victorious in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-28, Who won the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-29, Which nation triumphed in the 1934 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-30, Which team won the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-31, Who emerged as the victor of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-32, Which nation lifted the trophy in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-33, Who claimed the championship title in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-34, Which team was crowned the winner of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-35, Who was the triumphant team in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-36, Which country secured the championship in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-37, Who took home the top honors in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-38, Which nation became the champions of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-39, Who was declared the winner of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-40, Which team achieved victory in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-41, Who clinched the title in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-42, Which team emerged victorious in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-43, Who won the 1938 FIFA World Cup?(Give me the name only),Italy,There was no FIFA World Cup held in 1938.,False,0.0,0.411386,0.288862
row-44, Which nation triumphed in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.0,1.0
row-45, Which team won the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-46, Who emerged as the victor of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-47, Which nation lifted the trophy in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-48, Who claimed the championship title in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-49, Which team was crowned the winner of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-50, Who was the triumphant team in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-51, Which country secured the championship in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-52, Who took home the top honors in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-53, Which nation became the champions of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-54, Who was declared the winner of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-55, Which team achieved victory in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-56, Who clinched the title in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-57, Which team emerged victorious in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-58, Who won the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-59, Which nation triumphed in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.0,1.0
row-60, Which team won the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-61, Who emerged as the victor of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-62, Which nation lifted the trophy in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-63, Who claimed the championship title in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-64, Which team was crowned the winner of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-65, Who was the triumphant team in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-66, Which country secured the championship in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-67, Who took home the top honors in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-68, Which nation became the champions of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-69, Who was declared the winner of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-70, Which team achieved victory in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-71, Who clinched the title in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-72, Which team emerged victorious in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
row-73, Who won the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.0,1.0
